agency,jurisdiction,state,no_officers,avg_juris_annual_budget,avg_annual_lawsuit_pmt,pct_total_budget_police_lawsuit,avg_annual_settlement_perofficer,avg_agcy_total_budget,avg_premium,pct_agcy_lawsuit_total_budget,avg_annual_agcy_lawsuit_pmt,avg_addl_lawsuit_pmt_juris,avg_risk_fund_pmt,tot_settle,tot_settle_low,tot_settle_hi,tot_settle_sens,tot_settle_low_sens,tot_settle_hi_sens
New York City Police Department,New York,NY,36023,7.12E+10,169100000,0.0024,4694,4909034000,,,,,,42246400,18551961,65940841,33797120,14841569,52752673
Chicago Police Department,Chicago,IL,13354,8310066667,52857575,0.0064,3958,1346854532,,0.01220,16511017,36346558,,39155200,17194500.42,61115901.82,31324160,13755600.33,48892721.46
Los Angeles Police Department,Los Angeles,CA,9727,7267728810,29804106,0.0041,3064,1245079172,,,,,,63369600,27827941.47,98911262.15,50695680,22262353.17,79129009.72
Los Angeles County Sheriff's Department,Los Angeles County,CA,9461,2.61E+10,39372846,0.0015,4162,2739641644,,0.01440,39372846,0,,49459200,21719368.95,77199033.88,39567360,17375495.16,61759227.1
California Hwy Patrol,California,CA,7202,1.39E+11,1817551,1.00E-05,252,1950244667,,0.00090,1817551,0,,3606400,1583703.986,5629096.22,2885120,1266963.189,4503276.976
Philadelphia Police Department,Philadelphia,PA,6642,3576449165,14895736,0.0042,2242,556019216,,,,,,16486400,7239789.65,25733011.29,13189120,5791831.72,20586409.03
Houston Police Department,Houston,TX,5053,3367333333,1892347,6.00E-04,374,674250706,,,,,,32457600,14253335.87,50661865.98,25966080,11402668.7,40529492.79
Pennsylvania State Police Department,Pennsylvania,PA,4458,64533333333,792924,1.00E-05,178,,,,,,,7212800,3167407.972,11258192.44,5770240,2533926.377,9006553.953
Metro Police Department,"Washington, DC",DC,3742,11706524667,1313867,1.00E-04,351,495493000,,0.00060,285100,1028287,,9788800,4298625.105,15278975.45,7831040,3438900.084,12223180.36
Texas Department of Public Safety,Texas,TX,3529,9.59E+10,912314,1.00E-05,259,1417783296,,0.00060,912314,0,,12364800,5429842.238,19299758.47,9891840,4343873.789,15439806.78
Dallas Police Department,Dallas,TX,3389,2612782303,2746977,0.0011,811,432000000,,,,,,20608000,9049737.062,32166264.12,16486400,7239789.65,25733011.29
Phoenix Police Department,Phoenix,AZ,3388,564376333,3306192,0.0059,976,564376333,,0.00970,,,5458218,55126400,24208046.64,86044756.51,44101120,19366437.31,68835805.21
Miami-Dade County Police Department,Miami,FL,3093,535452667,914429,0.0017,296,535452667,,0.00580,,,3113615,23184000,10180954.2,36187047.13,18547200,8144763.356,28949637.7
Baltimore Police Department,Baltimore,MD,2990,3116421949,2100000,7.00E-04,702,398743989,,,,,,15456000,6787302.797,24124698.08,12364800,5429842.237,19299758.47
Las Vegas Metro Police Department,Las Vegas,NV,2942,4314935423,2296197,5.00E-04,780,498029091,,0.00460,2296190,0,,30396800,13348362.17,47445239.57,24317440,10678689.73,37956191.66
Detroit Police Department,Detroit,MI,2250,2759241600,3463961,0.0013,1540,375688219,,,,,,5667200,2488677.692,8845722.632,4533760,1990942.154,7076578.105
Boston Police Department,Boston,MA,2181,2.45E+09,4087716,0.0017,1874,291461466,,0.00460,1326397,2761319,,6182400,2714921.119,9649879.235,4945920,2171936.895,7719903.388
Riverside County Sheriff's Department,Riverside,CA,2147,4819133333,4311595,9.00E-04,2008,552000000,,0.05680,,,31333333,19577600,8597250.209,30557950.91,15662080,6877800.167,24446360.73
Illinois State Police,Illinois,IL,2105,6.84E+10,15296553,2.00E-04,7267,411333333,,0.00380,1963220,13333333,,2060800,904973.7064,3216626.412,1648640,723978.9648,2573301.129
San Antonio Police Department,San Antonio,TX,2020,2270446074,1535107,7.00E-04,760,361514224,,0.01140,,,4127476,23699200,10407197.62,36991203.73,18959360,8325758.097,29592962.99
Milwaukee Police Department,Milwaukee,WI,1987,1457452457,929167,6.00E-04,468,239266014,,,,,,7728000,3393651.398,12062349.04,6182400,2714921.119,9649879.235
San Diego Police Department,San Diego,CA,1951,2757861637,4351646,0.0016,2230,407828506,,,,,,14940800,6561059.37,23320541.48,11952640,5248847.496,18656433.19
San Francisco Police Department,San Francisco,CA,1940,7365626613,1554559,2.00E-04,801,492896755,,0.00310,1510234,44326,,9273600,4072381.678,14474818.85,7418880,3257905.342,11579855.08
Honolulu Police Department,Honolulu,HI,1934,2016752326,1226214,6.00E-04,634,222740887,,,,,,9788800,4298625.105,15278975.45,7831040,3438900.084,12223180.36
Columbus Division of Police,Columbus,OH,1886,1534928716,475087,3.00E-04,252,289105299,,0.00080,225000,225087,,20608000,9049737.062,32166264.12,16486400,7239789.65,25733011.29
Virginia State Police,Virginia,VA,1873,41704762294,416667,1.00E-05,222,294375652,,0.00230,,,679698,4121600,1809947.413,6433252.823,3297280,1447957.93,5146602.258
North Carolina State Hwy Patrol,North Carolina,NC,1827,49590935190,75990,1.00E-06,42,,,,,,,3091200,1357460.559,4824939.617,2472960,1085968.447,3859951.694
Orange County Sheriff's Department,Orange County,CA,1794,5532169682,6166666,0.0011,3437,509866667,,0.01490,,,7600000,2576000,1131217.133,4020783.014,2060800,904973.7062,3216626.412
Michigan State Police,Michigan,MI,1732,49312822142,398445,8.00E-05,230,,,,,,,2576000,1131217.133,4020783.015,2060800,904973.7061,3216626.412
Atlanta Police Department,Atlanta,GA,1719,1843568011,1913714,0.001,1113,199260538,,,,,,7728000,3393651.398,12062349.04,6182400,2714921.119,9649879.235
Charlotte-Mecklenburg Police Department,Charlotte,NC,1672,548500000,597640,0.0011,357,208033333,,,,,,10819200,4751111.958,16887288.66,8655360,3800889.566,13509830.93
